artist,album,catalogueNo,played,location,needNewCase,sleeveRating,sleeveNotes,mediaRating,mediaNotes,purchasedByMe,purchaseDate
"FABULOUS THUNDERBIRDS, THE",HOT NUMBER,,,,,,,,,,
FACES,A NOD'S AS GOOD AS A WINK... TO A BLIND HORSE,,,,,,NO COVER,,,,
FACES,LONG PLAYER,,,shelf,,GENERIC,"replaced inner sleeve only, no jacket",,,,
FACES,OOH LALA,,,,,,,,,,
FARON YOUNG,FARON YOUNG,,,,,,,,,,
FAT MATTRESS,FAT MATTRESS,,,,,,,,,,
FIREFALL,FIREFALL,SD 18174,TRUE,shelf,TRUE,N/A,replaced inner sleeve only,G,"had no jacket or sleeve for some time, lots of light scratches, needs cleaning but plays pretty well. some skipping on side 2",,
FIREFALL,UNDERTOW,,,,,,,,,,
FIREFALL,LUNA SEA,,,,,,,,,,
FLEETWOOD MAC,RUMOURS,BSK 3010,TRUE,,,,,,,,
FLEETWOOD MAC,TUSK,,TRUE,,,,,,,,
FLEETWOOD MAC,BARE TREES,,,,,,,,,,
FLEETWOOD MAC,KILN HOUSE,,,,,,,,,,
FLEETWOOD MAC,ENGLISH ROSE,,,,,GENERIC,"replaced jacket, original sleeve",,,,
FLEETWOOD MAC,FUTURE GAMES,,,,,,,,,,
FLEETWOOD MAC,VINTAGE YEARS,,,,,GENERIC,replaced jacket and sleeve,,,,
FLEETWOOD MAC,VINTAGE YEARS,,,,,,,,,,
FLEETWOOD MAC,MYSTERY TO ME,,,,,,,,,,
FOGHAT,NIGHT SHIFT,,,,,,,,,,
FOGHAT,FOOL FOR THE CITY,,,,,,,,,,
FOGHAT,ENERGIZED,,,,,,,,,,
FOREIGNER,4,,TRUE,,,,,,,,
FOREIGNER,FOREIGNER,,,,,,,,,,
FRAMPTON,CAMEL,,,,,,,,,,
FRANK SINATRA,GREATEST HITS,,,,,,,,,,
FRANK ZAPPA,ZAPPA IN NEW YORK,,,,,,,,,,
"FRATERNITY OF MAN, THE",THE FRATERNITY OF MAN,ABCS-647,,TUB,VG+,,,,,,
FREDDIE FENDER,FREDDIE FENDER,,,,,,,,,,
FREDDIE HART,BLESS YOUR HEART,,,,,,,,,,
FREDDIE HART,CALIFORNIA GRAPEVINE,,,,,,,,,,
FREDDIE HART,MY HANG-UP IS YOU,,,,,,,,,,
FREDDY WELLER,GO FOR THE NIGHT,,,,,,,,,,
FREE,FREE LIVE,,,,,,,,,,
GARY PUCKETT AND THE UNION GAP,INCREDIBLE,CS 9715,,shelf,,,,,,,
GARY PUCKETT AND THE UNION GAP,INCREDIBLE,CS 9715,TRUE,shelf,,VG+,"great shape, still has inner sleeve",VG+,"doesn't skip, pretty quiet, ""side 1"" printed on both sides of record",,
GARY STEWART,OUT OF HAND,,,,,,,,,,
GENE WATSON,THE BEST OF GENE WATSON,,,TUB,,,,,,,
GENE WATSON,OLD LOVE NEVER DIES,,,TUB,,,,,,,
GENE WATSON WITH THE FAREWELL PARTY BAND,SOMETIMES I GET LUCKY,,,TUB,,,,,,,
GEORGE BENSON,IN FLIGHT,,,,,,,,,,
GEORGE JONES & MELBA MONTGOMERY,CLOSE TOGETHER (AS YOU AND ME),,,,,,,,,,
GERRY AND THE PACEMAKERS,GREATEST HITS,,,,,,,,,,
GINO VANNELLI,NIGHTWALKER,,,,,,,,,,
GINO VANNELLI,POWERFUL PEOPLE,,,,,,,,,,
GLEN CAMPBELL,WICHITA LINEMAN,,,,,,,,,,
GLENN MILLER,THE BEST OF,,,,,,,,,,
GRAND FUNK RAILROAD,"MARK, DON & MEL",SABB-11042,,shelf,,VG+,"shiny, very little ring wear, spine/seams in great shape",G,missing second album,,
GRAND FUNK RAILROAD,SURVIVAL,,,,,VG+,"no ring wear, very good condition",,,,
GRAND FUNK RAILROAD,GRAND FUNK HITS,,,,,,,,,,
GRAND FUNK RAILROAD,GRAND FUNK,,,,,,,,,,
"GRASS ROOTS, THE",GOLDEN GRASS - THEIR GREATEST HITS,,,,,,,,,,
"GRATEFUL DEAD, THE",SKELETONS FROM THE CLOSET,,,,,,,,,,
"GRATEFUL DEAD, THE",THE GRATEFUL DEAD,,,,,,,,,,
"GRATEFUL DEAD, THE",BLUES FOR ALLAH,,,,,,,,,,
"GUESS WHO, THE",AMERICAN WOMAN,LSP-4266,TRUE,shelf,,VG+,"no splitting, has inner sleeve, some ring wear and general fading/wear but very solid jacket",VG,"noisy/crackly, no skipping",,
"GUESS WHO, THE",AMERICAN WOMAN,LSP-4266,TRUE,shelf,,VG,"sharpie mark ""10"" on front cover, splitting on bottom of back cover and inside fold at spine, missing inner sleeve",VG+,"clean, one skip on side 2, not noisy",,
"GUESS WHO, THE",ARTIFICIAL PARADISE,LSP-4830,TRUE,,,VG+,"Great shape, original inner sleeve. no splitting.",VG+,,,
"GUESS WHO, THE",ROCKIN',,,,,,,,,,
"GUESS WHO, THE",ROCKIN',,,,,,,,,,
"GUESS WHO, THE",THE BEST OF THE GUESS WHO (VOL. 2),,,,,,,,,,
"GUESS WHO, THE",CANNED WHEAT,,,,,,,,,,
"GUESS WHO, THE",ROAD FOOD,,TRUE,,,,,,,,
GUNS N' ROSES,WELCOME TO THE JUNGLE,,,,,,,,,,
GUY LOMBARDO AND THE ROYAL CANADIANS,MEDLEYS ON PARADE,,,,,,,,,,
HAL ALOMA,TAKES YOUR FAVORITE TUNES ON A TRIP TO HAWAII,,,,,,,,,,
HALL & OATES,VOICES,,,,,,,,,,
HALL & OATES,VOICES,,,,,,,,,,
HALL & OATES,H20,,,,,,,,,,
"HAMILTON, JOE FRANK & REYNOLDS",FALLIN' IN LOVE,,,,,,,,,,
"HAMILTON, JOE FRANK & REYNOLDS","HAMILTON, JOE FRANK & REYNOLDS",,,,,,,,,,
HANK LOCKLIN,THIS SONG IS JUST FOR YOU,,,TUB,,,,,,,
HANK LOCKLIN,BORN TO RAMBLE,,,TUB,,,,,,,
HEART,BEBE LE STRANGE,FE 36371,TRUE,,,VG+,,VG+,,,
HEATWAVE,CENTRAL HEATING,JE 35260,TRUE,shelf,,VG+,"great condition, good inner sleeve",VG+,"very clean, a little dusty",,
HELEN REDDY,GREATEST HITS,,,,,,,,,,
HERB ALPERT & THE TIJUANA BRASS,THE LONELY BULL,,,TUB,,,,,,,
HERB ALPERT & THE TIJUANA BRASS,THE LONELY BULL,,,TUB,,,,,,,
HERB ALPERT & THE TIJUANA BRASS,S.R.O,,,,,,,,,,
HERBIE MANN,ALL BLUES/FOREST RAIN,,,,,,,,,,
HERBIE MANN,SUPERMANN,,,,,,,,,,
HERMAN'S HERMITS,THE BEST OF,,,,,,,,,,
"HOLLIES, THE",A CRAZY STEAL,,,,,,,,,,
"HOLLIES, THE",ANOTHER NIGHT,,,,,,,,,,
HUDSON AND LANDRY,HANGING IN THERE,,,,,,,,,,
"HULLABALLOOS, THE",ENGLAND'S NEWEST SINGING SENSATIONS,,,,,,,,,,
HUMBLE PIE,SMOKIN',,,,,,,,,,
HUMBLE PIE,PERFORMANCE ROCKIN' THE FILLMORE,,,,,,,,,,
"INCREDIBLE STRING BAND, THE",CHANGING HORSES,,,,,,,,,,
IRON BUTTERFLY,IN-A-GADDA-DA-VIDA,SD 33-250,,shelf,,VG+,"some peeling on back bottom, missing inner sleeve",,,,
IRON BUTTERFLY,BALL,SD 33-280,,shelf,,F,"Missing inner sleeve, some mildew inside gatefold",,,,
IRON BUTTERFLY WITH PINERA AND RHINO,METAMORPHOSIS,SD 33-339,,shelf,,G+,"Missing inner sleeve. Some splitting and some repair tape to keep it together, but clean, no mildew and no ring wear. ",,"has some scratches on the surface, looks okay",,
"ISLEY BROTHERS, THE",FOREVER GOLD,,,,,,,,,,
IT'S A BEAUTIFUL DAY,MARRYING MAIDEN,SFS 04800,,,,,,,,,
IT'S A BEAUTIFUL DAY,IT'S A BEAUTIFUL DAY...TODAY,,,,,,,,,,
J. GEILS BAND,FULL HOUSE,,,,,,,,,,
J. GEILS BAND,BEST OF THE J. GEILS BAND,,,,,,,,,,
J.J. CALE,TROUBADOUR,,,TUB,,,,,,,
"JACKSON 5, THE",TRIUMPH,,,,,,,,,,
JACKSON BROWNE,FOR EVERYMAN,,TRUE,,,,,,,,
JAMES GANG,BANG,,,,,,,,,,
JAMES TAYLOR,GREATEST HITS,,,,,,,,,,
JAN & DEAN,DRAG CITY,LST-7339,,,,,,,,,
JANIS IAN,STARS,KC 32857,,,,,,,,,
JANIS IAN,BETWEEN THE LINES,PC 33394,,,,,,,,,
JANIS IAN,BETWEEN THE LINES,PC 33394,,,,,,,,,
JANIS IAN,AFTERTONES,PC 33919,,,,,,,,,
JANIS JOPLIN,JANIS JOPLIN'S GREATEST HITS,PC 32168,,,,VG,,G,,,
JAY AND THE AMERICANS,WAX MUSEUM,UAS 6719,TRUE,,,,,,,TRUE,
JEANNIE C. RILEY,HARPER VALLEY P.T.A.,PLP1,TRUE,,,,,,,,
JEANNIE C. RILEY,YEARBOOKS AND YESTERDAYS,PLP2,,,,,,,,,
JEFF BECK AND THE YARDBIRDS,SHAPES OF THINGS,SPB-4039,,,,,,,,,
JERRY LEE LEWIS,THE SESSION,SRM 2-803,,,,,,,,,
JERRY VALE,I REMEMBER RUSS,,,,,,,,,,
JETHRO TULL,LIVING IN THE PAST,2TS 2106,,,,,,,,,
JETHRO TULL,STAND UP,CHR 1042,,,,,,,,,
JETHRO TULL,BENEFIT,CHR 1043,,,,,,,,,
JETHRO TULL,HEAVY HORSES,CHR 1175,,,,,,,,,
JETHRO TULL,AQUALUNG,MS 2035,,,,,,,,,
JIM CROCE,I GOT A NAME,ABCX-797,TRUE,,FALSE,VG+,Has inner sleeve and jacket in good shape,VG,"side 1 - some skipping on first track, but clear sounding, very little noise. side 2 - a couple tiny skips",,
JIM REEVES,JIM REEVES ON STAGE,LSP-4062,,,,,,,,,
JIM REEVES,A TOUCH OF VELVET,,,TUB,,,,,,,
JIM REEVES,THE BEST OF JIM REEVES,,,TUB,,,,,,,
JIM REEVES,GOOD 'N' COUNTRY,,,TUB,,,,,,,
JIM REEVES,GOOD 'N' COUNTRY,,,TUB,,,,,,,
JOAN BAEZ,JOAN BAEZ/5,VRS-9160,,,,,,,,,
JOE COCKER,GREATEST HITS,SP 4670,,,,,,,,,
JOE COCKER,MAD DOGS AND ENGLISHMEN,SP 6002,,,,,,,,,
JOE COCKER,CIVILIZED MAN,ST 512335,,,,,,,,,
JOE JACKSON,NIGHT AND DAY,SP-4906,,,,,,,,,
JOE SOUTH,DON'T IT MAKE YOU WANT TO GO HOME,ST-392,,,,,,,,,
JOE WALSH,YOU BOUGHT IT - YOU NAME IT,1-23884,,,,,,,,,
JOHHNY PAYCHECK,GREATEST HITS VOL. II,,,,,,,,,,
JOHN ANDERSON,"TOKYO, OKLAHOMA",1-25211,,,,,,,,,
JOHN CONLEE,ROSE COLORED GLASSES,,,TUB,,,,,,,
JOHN CONLEE,IN MY EYES,,,,,,,,,,
JOHN COUGAR MELLENCAMP,THE LONESOME JUBILEE,832 465-1 Q-1,,,,,,,,,
JOHN FOGERTY,CENTERFIELD,9 25203-1,,shelf,,,,,,,
JOHN FOGERTY,CENTERFIELD,9 25203-1,,shelf,,,,,,,
JOHN KAY,FORGOTTEN SONGS & UNSUNG HEROES,,,,,,,,,,
JOHN KLEMMER,TOUCH,,,,,,,,,,
JOHN LENNON,ROCK N' ROLL,,,,,,,,,,
JOHN LENNON & YOKO ONO,DOUBLE FANTASY,,,,,,,,,,
JOHNNY CASH,AT SAN QUENTIN,,,,,,,,,,
JOHNNY CASH,AT FOLSOM PRISON,,,,,,,,,,
JOHNNY CASH,ORIGINAL GOLDEN HITS VOLUME 2,,,,,,,,,,
JOHNNY HORTON,JOHNNY HORTON'S GREATEST HITS,,,TUB,,,,,,,
JOHNNY LEE,LOOKIN' FOR LOVE,6E-309,,TUB,FALSE,"LIGHT RING WEAR, HAS INNER SLEEVE",,,,,
JOHNNY RIVERS,A TOUCH OF GOLD,,,,,,,,,,
JOHNNY RODRIGUEZ,THE GREATEST HITS OF JOHNNY RODRIGUEZ,,,TUB,,,,,,,
JOHNNY WINTER,JOHNNY WINTER AND,C 30221,,,,,,,,,
JOHNNY WINTER,JOHNNY WINTER,,,,,,,,,,
JONI MITCHELL,COURT AND SPARK,7E-1001,,,,,,,,TRUE,
JOSE FELICIANO,FELICIANO!,,,TUB,,,,,,,
JOURNEY,EVOLUTION,,,,,,,,,,
JOURNEY,FRONTIERS,,,,,,,,,,
JOURNEY,CAPTURED,,,,,,,,,,
JOY OF COOKING,JOY OF COOKING,,,,,,,,,,
JUDAS PRIEST,"HERO, HERO",GUD 2005/6,,,,,,,,,
JUDAS PRIEST,UNLEASHED IN THE EAST,JC 36179,,,,,,,,,
JUG SCOTT,MEMORIES OF HANK WILLIAMS,,,,,,NO CASE,,,,
JUSTIN WILSON,JUSTIFYIN',SVBB-11379,,,,,,,,,
KALEIDOSCOPE,INCREDIBLE! KALEIDOSCOPE,BN 26467,TRUE,,,,,,,,
KEITH MOON,TWO SIDES OF THE MOON,MCA-2136,,,,,,,,,
KENDRICK LAMAR,GOOD KID M.A.A.D CITY,B0017695-01,TRUE,,,NM,,VG+,,TRUE,
KENDRICK LAMAR,TO PIMP A BUTTERFLY,B0023464-01,TRUE,,,NM,,VG+,,TRUE,
KENNY G,SILHOUETTE,AL-8457,,,,,,,,,
KENNY LOGGINS,NIGHTWATCH,JC 35387,,,,,,,,,
KENNY LOGGINS,CELEBRATE ME HOME,PC 34655,,,,,,,,,
KENNY LOGGINS & JIM MESSINA,MOTHERLODE,,,,,,,,,,
KENNY ROGERS,EYES THAT SEE IN THE DARK,AFLI-4697,,,,,,,,,
KENNY ROGERS,GIDEON,,,,,,,,,,
KENNY ROGERS & DOTTIE WEST,EVERY TIME TWO FOOLS COLLIDE,UA-LA864-H,,,TRUE,,,,,,
KING BISCUIT BOY & CROWBAR,OFFICIAL MUSIC,,,TUB,,,,,,,
KOOL & THE GANG,FOREVER,422 830 398-1 M-1,,,,,,,,,
KOOL & THE GANG,GREATEST HITS,DEP-2015,,,,,,,,,
KOOL & THE GANG,LADIES NIGHT,DSR-9513,TRUE,,,,,,,,
L.T.D.,LOVE MAGIC,SP-4881,,,,,,,,,
LA CONNECTION,BIG HITS VOLUME 2,SPB-4076,,,,,,,,,
LACY J. DALTON,DREAM BABY,,,TUB,,,,,,,
LANI MCINTIRE,AN HOUR OF HAWAIIAN MELODIES,1255,,,,,,,,,
LED ZEPPELIN,LED ZEPPELIN,SD 19129,TRUE,,,,,,,,
LED ZEPPELIN,LED ZEPPELIN,SD 19129,,,,,,,,,
LED ZEPPELIN,LED ZEPPELIN,SD 7208,,,,,,,,,
LED ZEPPELIN,LED ZEPPELIN,SD 7208,,,,,,,,,
LED ZEPPELIN,II,SD 8236,,,,,,,,,
LED ZEPPELIN,PRESENCE,SS 8416,,,,,,,,,
LED ZEPPELIN,HOUSES OF THE HOLY,,,,,,,,,,
LED ZEPPELIN,LED ZEPPELIN IV,,,,,,,,,,
LED ZEPPELIN,PRESENCE,,,,,,,,,,
LED ZEPPELIN,IN THROUGH THE OUT DOOR,,,shelf,,GENERIC,"Replaced jacket, original sleeve",,,,
LEE HAZLEWOOD & NANCY SINATRA,NANCY & LEE,RS 6273,,,,,,,,,
LEE MICHAELS,RECITAL,SP 4152,TRUE,shelf,FALSE,VG+,"replaced inner sleeve, jacket is in solid shape",,,,
LEE MICHAELS,LEE MICHAELS,,,TUB,,,,,,,
LEE MICHAELS,LEE MICHAELS,,,TUB,,,,,,,
LEFTY FRIZZELL,"SIGNED, SEALED AND DELIVERED",HS 11260,,,,,,,,,
LEGS DIAMOND,FIRE POWER,CR 1010,,,,,,,,,
LENNY WILLIAMS,LOVE CURRENT,MCA 3155,,,,,,,,,
LEO SAYER,SILVERBIRD,BS 2738,,,,,,,,,
LES DUDEK,LES DUDEK,,,TUB,,,,,,,
LESLIE WEST,MOUNTAIN,4500,,,,,,,,,
"LETTERMAN, THE",PUT YOUR HEAD ON MY SHOULDER,,,,,,,,,,
"LETTERMEN, THE",PUT YOUR HAND ON MY SHOULDER,,,TUB,,,,,,,
LINDA RONSTADT,LIVING IN THE USA,6E-155,,,,,,,,,
LINDA RONSTADT,LIVING IN THE USA,6E-155,,,,,,,,,
LITTLE FEAT,THE LAST RECORD ALBUM,,,,,,,,,,
LITTLE RIVER BAND,LITTLE RIVER BAND,ST-11512,TRUE,,,,,,,,
LOGGINS & MESSINA,THE BEST OF FRIENDS,,,,,,,,,,
LORETTA LYNN,LOOKIN' GOOD,MCA-5148,,,,,,,,,
LORETTA LYNN & CONWAY TWITTY,COUNTRY PARTNERS,MCA-427,,,,,,,,,
LORETTA LYNN & CONWAY TWITTY,LEAD ME ON,MCA-9,,shelf,,,,,,,
LORETTA LYNN & CONWAY TWITTY,LEAD ME ON,,,TUB,,,,,,,
LOS ADMIRADORES,BONGOS,RS 809 SD,,,,,,,,,
LOU CHRISTIE,I'M GONNA MAKE YOU MINE,BDS 5052,,,,,,,,,
LOU RAWLS,SOULIN',ST 2566,,,,,,,,,
"LOVIN' SPOONFUL, THE",THE BEST OF THE LOVIN' SPOONFUL,KLP-8056,,,,,,,,,
LYNARD SKYNARD,SECOND HELPING,MCA-413,,,,,,,,,
LYNYRD SKYNYRD,GOLD & PLATINUM,MCA2-11008,,,,,,,,,
MAD RIVER,MAD RIVER,,,TUB,,,,,,,
MADONNA,LIKE A VIRGIN,1-25157,,,,GENERIC,Replaced sleeve and jacket,,,,
"MAMAS & THE PAPAS, THE",THE MAMAS & THE PAPAS,DS 50010,,,,,,,,,
MANTOVANI,PLAYS THE MUSIC OF ROMBERG,LL 1031,,,,,,,,,
MANTOVANI AND HIS ORCHESTRA,MONTY,,,,,,,,,,
MARIA MALDAUR,MARIA MALDAUR,MS 2148,TRUE,,,,,,,,
MARSHALL CRENSHAW,MARSHALL CRENSHAW,BSK 3673,,,,,,,,,
"MARSHALL TUCKER BAND, THE",GREATEST HITS,C 3057,,TUB,,,,,,,
MARTY ROBBINS,GUNFIGHTER BALLADS AND TRAIL SONGS,CS 8158,,,,,,,,,
MARTY ROBBINS,MORE GUNFIGHTER BALLADS AND TRAIL SONGS,CS 8272,,,,,,,,,
MARTY ROBBINS,MARTY ROBBINS GREATEST HITS VOL. III,,,,,,,,,,
MARVIN GAYE,WHAT'S GOIN' ON,TS310,,,,,,,,,
MAYNARD FERGUSON,M.F. HORN AND M.F. HORN TWO,CG 33660,,,,,,,,,
MEL MCDANIEL,LET IT ROLL,ST 512402,,,,,,,,,
MEL TILLIS,SOUTHERN RAIN,,,TUB,,,,,,,
MEL TILLIS,MEL'S FAVORITES,,,TUB,,,,,,,
MEL TILLIS,MEL'S FAVORITES,,,TUB,,,IN OTHER MEL'S FAVORITES JACKET,,,,
MEL TILLIS AND THE STATESIDERS,M-M-MEL LIVE,,,TUB,,,,,,,
MEMPHIS SLIM,ALL KINDS OF BLUES,BV-1053,,,,,,,,,
"MENDICANTS OF STANFORD, THE",1975,,,,,,ORLEANS - LET THERE BE MUSIC,,,TRUE,
MERLE HAGGARD,BIG CITY,FE 37593,,,,,,,,,
MERLE HAGGARD,GOING WHERE THE LONELY GO,FE 38092,,,,,,,,,
MERLE HAGGARD,THE BEST OF MERLE HAGGARD,SKAO 2951,,shelf,,,,,,,
MERLE HAGGARD,AMBER WAVES OF GRAIN,,,,,,,,,,
MERLE HAGGARD (WITH BONNIE OWENS AND THE STRANGERS),THE FIGHTIN' SIDE OF ME,FE 40224,,,,,,,,,
MERLE HAGGARD (WITH BONNIE OWENS AND THE STRANGERS),THE FIGHTIN' SIDE OF ME,SN-16278,,,,,,,,,
MFSB,SUMMERTIME,,,TUB,,,,,,,
MICHAEL SCHENKER GROUP,MSG,,,TUB,,,,,,,
MICHAEL STANLEY BAND,STAGE PASS,PEG 34661,,,,,,,,,
MICKEY GILLEY,THAT'S ALL THAT MATTERS TO ME,JE 36492,,,,,,,,,
MIKE BLOOMFIELD / AL KOOPER / STEVE STILLS,SUPER SESSION,CS 9701,,TUB,FALSE,"SPLITTING ON BOTTOM, RING WEAR, HAS INNER SLEEVE",G+,,,,
MIKE BLOOMFIELD / AL KOOPER / STEVE STILLS,SUPER SESSION,CS 9702,,TUB,FALSE,SPLITTING ON TOP OUTER JACKET,G+,,,,
MIKE OLDFIELD,TUBULAR BELLS,V2001,,,,,,,,,
MITCH MILLER & THE GANG,STILL MORE!,,,,,,,,,,
MITCH MILLER & THE GANG,MEMORIES,,,,,,,,,,
MOBY GRAPE,MOBY GRAPE,CS 9498,,,,,,,,,
MOBY GRAPE,MOBY GRAPE '69,CS 9696,,,TRUE,,,,,,
MOBY GRAPE,GRAPE JAM,MGS 1,,,,,,,,,
MOE BANDY AND JOE STAMPLEY,HEY JOE HEY MOE,FC 37003,,,,,,,,,
"MONKEES, THE",THE MONKEES,COM-101,,shelf,TRUE,N/A,"No jacket, has solid inner sleeve only",,,,
"MONKEES, THE",THE MONKEES,COM-101,TRUE,shelf,,,,,,,
"MONKEES, THE",MORE OF THE MONKEES,COM-102,TRUE,shelf,,,WRITING ON JACKET,,"""WONG"" WRITTEN ON LABEL",,
"MONKEES, THE",MORE OF THE MONKEES,COM-102,,shelf,,,"WRITING ON JACKET, INSIDE SLEEVE NICE",,,,
"MONKEES, THE",THE MONKEES,DARTY12,,shelf,,,,,,,
MONTROSE,PAPER MONEY,BS 2823,,,,,,,,,
MONTROSE,JUMP ON IT,BS 2963,,,,,,,,,
MONTROSE,PAPER MONEY,,TRUE,,TRUE,,no case,,,,
"MOODY BLUES, THE",GO NOW - THE MOODY BLUES #1s,PS 428,,,,,,,,,
"MOTHERS OF INVENTION, THE",UNCLE MEAT,2MS 2024,,,,,,,,,
"MOTHERS OF INVENTION, THE",WE'RE ONLY IN IT FOR THE MONEY,MGS 1250,,,,,,,,,
"MOTHERS OF INVENTION, THE",JUST ANOTHER BAND FROM LA,MS 2075,,,,,,,,,
"MOTHERS OF INVENTION, THE",THE GRAND WAZOO,MS 2093,,,,,,,,,
"MOTHERS OF INVENTION, THE",THE WORST OF THE MOTHERS,SE 4754,,,,,,,,,
"MOTHERS OF INVENTION, THE",WE'RE ONLY IN IT FOR THE MONEY,V6 5045X,,,,,,,,,
"MOTHERS OF INVENTION, THE",ABSOLUTELY FREE,V6-5013,,,,,,,,,
MOTT THE HOOPLE,ALL THE YOUNG DUDES,KC 31750,TRUE,shelf,TRUE,GENERIC,"replaced jacket, original sleeve",VG.,"little dirty but not too noisy, doesn't skip",,
MOUNTAIN,CLIMBING!,4051,,,,,,,,,
MOUNTAIN,TWIN PEAKS,C 32819,,,,,,,,,
MOUNTAIN,THE BEST OF MOUNTAIN,KC 32079,,,,,,,,,
MR. MISTER,WELCOME TO THE REAL WORLD,,,TUB?,,,,,,,
NAT KING COLE,THE BEST OF,SKAO 2944,,,,,,,,,
NAT KING COLE,RAMBLIN' ROSE,ST 1793,,,,,,,,,
NAT KING COLE,THE GREATEST OF (VOLUME II),,,TUB?,,,,,,,
NAZARETH,HAIR OF THE DOG,SP-4511,,,,,,,,,
NEIL YOUNG,HARVEST,MS 2032,,,,,,,,,
NEIL YOUNG / CRAZY HORSE,ZUMA,MS 2242,,,,,,,,,
NEW GRASS REVIVAL,TOO LATE TO TURN BACK NOW,050,,,,,,,,,
NEW GRASS REVIVAL,ON THE BOULEVARD,SH-2745,,,,,,,,,
